PlayerName,PlayerUID,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
Lavonte David,s:20~l:28~a:14985,Black,9999.63%,32,Happy,9857.43%,"6' 1"", 233 lbs",1/23/1990 (35),Nebraska,"2012: Rd 2, Pk 58 (TB)",Active,https://www.espn.com/nfl/player/_/id/14985/lavonte-david
Mike Evans,s:20~l:28~a:16737,Black,4691.84%,24,Neutral,5100.80%,"6' 5"", 231 lbs",8/21/1993 (31),Texas A&M,"2014: Rd 1, Pk 7 (TB)",Active,https://www.espn.com/nfl/player/_/id/16737/mike-evans
Riley Dixon,s:20~l:28~a:2577619,White,5920.61%,23,Happy,9830.37%,"6' 4"", 221 lbs",8/24/1993 (31),Syracuse,"2016: Rd 7, Pk 228 (DEN)",Active,https://www.espn.com/nfl/player/_/id/2577619/riley-dixon
Adam Gotsis,s:20~l:28~a:2971498,White,7346.00%,28,Neutral,6756.20%,"6' 4"", 287 lbs",9/23/1992 (32),Georgia Tech,"2016: Rd 2, Pk 63 (DEN)",Active,https://www.espn.com/nfl/player/_/id/2971498/adam-gotsis
Deion Jones,s:20~l:28~a:2976545,Black,10000.00%,29,Happy,7455.84%,"6' 1"", 222 lbs",11/4/1994 (30),LSU,"2016: Rd 2, Pk 52 (ATL)",Active,https://www.espn.com/nfl/player/_/id/2976545/deion-jones
Sterling Shepard,s:20~l:28~a:2976592,Black,9998.09%,27,Happy,9596.59%,"5' 10"", 194 lbs",2/10/1993 (32),Oklahoma,"2016: Rd 2, Pk 40 (NYG)",Active,https://www.espn.com/nfl/player/_/id/2976592/sterling-shepard
Haason Reddick,s:20~l:28~a:2980504,Black,10000.00%,28,Neutral,9991.60%,"6' 1"", 240 lbs",9/22/1994 (30),Temple,"2017: Rd 1, Pk 13 (ARI)",Active,https://www.espn.com/nfl/player/_/id/2980504/haason-reddick
Anthony Walker Jr.,s:20~l:28~a:3045251,Black,9995.53%,29,Neutral,9961.55%,"6' 1"", 235 lbs",8/8/1995 (29),Northwestern,"2017: Rd 5, Pk 161 (IND)",Active,https://www.espn.com/nfl/player/_/id/3045251/anthony-walker-jr
Baker Mayfield,s:20~l:28~a:3052587,White,8631.98%,32,Neutral,9357.27%,"6' 1"", 215 lbs",4/14/1995 (30),Oklahoma,"2018: Rd 1, Pk 1 (CLE)",Active,https://www.espn.com/nfl/player/_/id/3052587/baker-mayfield
Chris Godwin,s:20~l:28~a:3116165,Black,10000.00%,27,Happy,9960.88%,"6' 1"", 209 lbs",2/27/1996 (29),Penn State,"2017: Rd 3, Pk 84 (TB)",QUESTIONABLE,https://www.espn.com/nfl/player/_/id/3116165/chris-godwin
